Timepoint	Euryarchaeota	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	BRC1	Chloroflexi	Cyanobacteria	Firmicutes	Fusobacteria	Gemmatimonadetes	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	SPAM	Spirochaetes	SR1	Synergistetes	Tenericutes	Thermi	TM7	Verrucomicrobia
91	0.0	0.0	0.0111407883644	0.0	0.297515777531	0.0	0.0	2.36367504196e-05	0.489209823433	0.00118183752098	0.0	0.0	0.0	0.0	0.156900749285	0.0	0.0	0.0	0.0	0.0440037503644	0.0	2.36367504195e-05	0.0
96	0.0	0.0	0.00206901430037	0.0	0.308742911711	0.0	0.0	1.17892552727e-05	0.486448251064	0.00176249366328	0.0	0.0	0.0	0.0	0.171916815015	0.0	0.0	0.0	2.35785105455e-05	0.0290251464815	0.0	0.0	0.0
97	0.0	0.0	0.00326674542655	0.0	0.492616260338	0.0	0.0	0.0	0.406284681201	9.84498621702e-05	0.0	0.0	0.0	0.0	0.0606630150718	0.0	0.0	0.0	0.0	0.0370708481008	0.0	0.0	0.0
98	0.0	0.0	0.00481133584097	0.0	0.405487147754	0.0	0.0	0.000368498265277	0.480667746668	6.95279745806e-05	0.0	0.0	0.0	0.0	0.0827591481433	0.0	0.0	0.0	0.0	0.0258365953542	0.0	0.0	0.0
99	0.0	0.0	0.00901365556538	0.0	0.341127157219	0.0	0.0	0.0	0.54092576219	0.000352031961227	0.0	0.0	0.0	0.0	0.0658545371189	0.0	0.0	0.0	0.0	0.0427186691554	0.0	8.18678979599e-06	0.0
100	0.0	0.0	0.00861860001616	0.0	0.472423173261	0.0	0.0	0.0	0.431662581809	0.00105577850198	0.0	0.0	0.0	0.0	0.0621724258665	0.0	0.0	0.0	5.3866250101e-06	0.0240620539201	0.0	0.0	0.0
101	0.0	0.0	0.0212400939672	0.0	0.369152638197	0.0	0.0	4.87381688095e-06	0.465785805496	0.000350914815429	0.0	0.0	0.0	0.0	0.119637582977	0.0	0.0	0.0	9.7476337619e-06	0.0238037216466	0.0	1.46214506428e-05	0.0
102	0.0	0.0	0.048517501032	0.0	0.198084067584	0.0	0.0	0.0	0.537763511879	0.000185045478485	0.0	0.0	0.0	0.0	0.136058246623	0.0	0.0	0.0	0.0	0.0793631588687	0.0	2.84685351515e-05	0.0
103	0.0	0.0	0.0165893806783	0.0	0.446332256625	0.0	0.0	9.83410619322e-05	0.393969423495	3.02587882868e-05	0.0	0.0	0.0	0.0	0.116640064149	0.0	0.0	0.0	0.0	0.0263251458095	0.0	1.51293941434e-05	0.0
105	0.0	0.0	0.00135604127882	0.0	0.130260405893	0.0	0.0	0.0	0.416017375716	0.00173527316187	0.0	0.0	0.0	0.0	0.447528097635	0.0	0.0	1.14918752442e-05	0.0	0.00294192006251	0.0	0.000149394378175	0.0
106	0.0	0.0	0.0616264807463	0.0	0.25108937736	0.0	0.0	0.0	0.653053484393	0.0	0.0	0.0	0.0	0.0	0.00854556018205	0.0	0.0	0.0	0.0	0.0256850973177	0.0	0.0	0.0
106	0.0	0.0	0.00128663068185	0.0	0.334021578635	0.0	0.0	0.000220565259746	0.327404620842	0.000575920400449	0.0	0.0	0.0	0.0	0.307572127903	0.0	0.0	0.0	0.0	0.0288940490267	0.0	2.45072510829e-05	0.0
107	0.0	0.0	0.00154678540456	0.0	0.110112999469	0.0	0.0	7.11909600424e-05	0.25258552623	0.000427145760255	0.0	0.0	0.0	0.0	0.634434420182	0.0	0.0	0.0	0.0	0.000705437694966	0.0	0.000116494298251	0.0
108	0.0	0.0	0.00384907545717	0.0	0.428746221024	0.0	0.0	0.000254905659416	0.302328308293	0.0525819394242	0.0	0.0	0.0	0.0	0.199840938869	0.0	0.0	0.0	0.0	0.0123833169344	0.0	1.52943395649e-05	0.0
112	0.0	0.0	0.00334967320262	0.0	0.263202614379	0.0	0.0	0.0	0.605617647058	0.0116862745098	0.0	0.0	0.0	0.0	0.0991568627451	0.0	0.0	0.0	0.0	0.0169836601307	0.0	3.26797385621e-06	0.0
113	0.0	0.0	0.00207502911603	0.0	0.299755589456	0.0	0.0	0.000110722897495	0.276544789462	0.0450150091039	0.0	0.0	0.0	0.0	0.367522103571	0.0	0.0	0.0	0.0	0.00897265554517	0.0	4.10084805538e-06	0.0
114	0.0	0.0	0.00434533081905	0.0	0.547347708453	0.0	0.0	0.0	0.304446448581	0.0286409226312	0.0	0.0	0.0	0.0	0.106802219125	0.0	0.0	0.0	0.0	0.00839004126698	0.0	2.73291246481e-05	0.0
